gorovje,ime,ogledi,priljubljenost,st_poti,st_slik,visina,vrsta
"Goriško, Notranjsko in Snežniško hribovje",Slavnik,879555,99,7,12,1028,"vrh, koča"
"Goriško, Notranjsko in Snežniško hribovje",Vremščica,724832,98,8,14,1027,vrh
"Goriško, Notranjsko in Snežniško hribovje",Sveti Hieronim,339124,74,7,5,1020,cerkev
"Goriško, Notranjsko in Snežniško hribovje",Gora (Sveti Lovrenc),474803,88,3,8,1019,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Špilnik,3140,31,2,6,1018,vrh
"Goriško, Notranjsko in Snežniško hribovje",Koča na Kamnem griču,295608,69,7,8,1016,"vrh, koča"
"Goriško, Notranjsko in Snežniško hribovje",Firstov rep,6350,36,5,4,1002,Ni podana
"Goriško, Notranjsko in Snežniško hribovje",Sinji vrh,582764,95,11,16,1002,vrh
"Goriško, Notranjsko in Snežniško hribovje",Županov vrh,328860,73,6,15,999,vrh
"Goriško, Notranjsko in Snežniško hribovje",Novaška gora,193672,57,1,1,998,vrh
"Goriško, Notranjsko in Snežniško hribovje",Grmada pri Slavniku,343430,74,2,5,998,vrh
"Goriško, Notranjsko in Snežniško hribovje",Koča na Kozleku,361472,76,3,4,997,"vrh, koča"
"Goriško, Notranjsko in Snežniško hribovje",Špiček (Špečk),241980,63,3,12,986,vrh
"Goriško, Notranjsko in Snežniško hribovje",Lovsko zavetišče pod Čavnom,212604,59,1,2,980,"vrh, bivak"
"Goriško, Notranjsko in Snežniško hribovje",Volovja reber,265678,65,1,3,975,vrh
"Goriško, Notranjsko in Snežniško hribovje",Sveti Bric (Nanos),251410,64,2,3,965,cerkev
"Goriško, Notranjsko in Snežniško hribovje",Rotovc,287761,68,4,7,964,vrh
"Goriško, Notranjsko in Snežniško hribovje",Mišnice,4090,33,2,1,961,vrh
"Goriško, Notranjsko in Snežniško hribovje",Kovk,390338,79,3,6,961,vrh
"Goriško, Notranjsko in Snežniško hribovje",Križna gora nad Colom,264183,65,2,3,957,vrh
"Goriško, Notranjsko in Snežniško hribovje",Velika Špička,382169,79,4,3,955,vrh
"Goriško, Notranjsko in Snežniško hribovje",Mala Plešivica,214213,60,2,3,953,vrh
"Goriško, Notranjsko in Snežniško hribovje",Ježa,188760,56,2,4,949,vrh
"Goriško, Notranjsko in Snežniško hribovje",Milanka,136697,50,1,1,948,vrh
"Goriško, Notranjsko in Snežniško hribovje",Leskovica (nad Stražiščem),1390,23,2,3,947,vrh
"Goriško, Notranjsko in Snežniško hribovje",Krempa,209112,59,1,3,944,vrh
"Goriško, Notranjsko in Snežniško hribovje",Krimšček,233545,62,1,2,940,vrh
"Goriško, Notranjsko in Snežniško hribovje",Petričev hrib,282041,67,4,4,937,vrh
"Goriško, Notranjsko in Snežniško hribovje",Deveti konfin,185243,56,2,3,930,vrh
"Goriško, Notranjsko in Snežniško hribovje",Kopitnik,252858,64,4,5,929,bivak
"Goriško, Notranjsko in Snežniško hribovje",Srednji vrh pri Kozleku,183331,56,2,2,923,vrh
"Goriško, Notranjsko in Snežniško hribovje",Dolski maj,173244,55,2,4,912,vrh
"Goriško, Notranjsko in Snežniško hribovje",Velika Plešivica,234657,62,2,6,908,vrh
"Goriško, Notranjsko in Snežniško hribovje",Lovska koča Urška,146137,51,1,2,908,Ni podana
"Goriško, Notranjsko in Snežniško hribovje",Očna,158555,53,2,2,906,vrh
"Goriško, Notranjsko in Snežniško hribovje",Dom na Travni Gori,291592,68,2,5,906,koča
"Goriško, Notranjsko in Snežniško hribovje",Furlanovo zavetišče pri Abramu,497035,90,8,6,900,koča
"Goriško, Notranjsko in Snežniško hribovje",Kraguljc,4905,35,3,2,897,vrh
"Goriško, Notranjsko in Snežniško hribovje",Bezgarska planina,2202,28,4,6,895,planina
"Goriško, Notranjsko in Snežniško hribovje",Marutnik,3810,33,2,4,892,vrh
"Goriško, Notranjsko in Snežniško hribovje",Golič,366501,77,5,11,890,vrh
"Goriško, Notranjsko in Snežniško hribovje",Gozdarska koča Pri logarnici,151683,52,1,4,889,Ni podana
"Goriško, Notranjsko in Snežniško hribovje",Nadglavinjak,114453,48,1,2,888,vrh
"Goriško, Notranjsko in Snežniško hribovje",Sekulak,280348,67,3,2,888,Ni podana
"Goriško, Notranjsko in Snežniško hribovje",Vrh Svetih Treh Kraljev,431754,84,9,13,884,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Kavčič,235443,62,3,7,879,vrh
"Goriško, Notranjsko in Snežniško hribovje",Lovska koča na Planinski gori,311956,71,4,5,879,koča
"Goriško, Notranjsko in Snežniško hribovje",Loška stena,12390,38,5,5,875,vrh
"Goriško, Notranjsko in Snežniško hribovje",Grmada (Planinska gora),350772,75,3,3,873,vrh
"Goriško, Notranjsko in Snežniško hribovje",Sončnica (Reber),5307,35,3,5,867,vrh
"Goriško, Notranjsko in Snežniško hribovje",Vrh Skopice,150836,52,2,2,863,vrh
"Goriško, Notranjsko in Snežniško hribovje",Bele stene,220430,60,2,3,863,Ni podana
"Goriško, Notranjsko in Snežniško hribovje",Kuželjska stena,3010,31,1,3,857,vrh
"Goriško, Notranjsko in Snežniško hribovje",Križna gora,479915,89,3,5,857,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Navrše,260642,65,3,5,857,vrh
"Goriško, Notranjsko in Snežniško hribovje",Sveta Marija Magdalena (Gore),3030,31,2,3,851,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Belovka,149517,52,2,3,848,vrh
"Goriško, Notranjsko in Snežniško hribovje",Otliški maj,262452,65,3,3,847,vrh
"Goriško, Notranjsko in Snežniško hribovje",Sveti Vid (Vidovska planota),177819,55,3,9,846,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Pravi vrh,1020,21,0,0,830,vrh
"Goriško, Notranjsko in Snežniško hribovje",Bivak Črna peč,218336,60,2,2,830,bivak
"Goriško, Notranjsko in Snežniško hribovje",Podrta gora nad Ajdovščino,12682,39,3,3,827,vrh
"Goriško, Notranjsko in Snežniško hribovje",Kurešček,524292,92,5,14,826,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Koča na Vrhu Svetih Treh Kraljev,363578,77,9,4,823,koča
"Goriško, Notranjsko in Snežniško hribovje",Polšakova koča na Zagori,174324,55,2,7,822,Ni podana
"Goriško, Notranjsko in Snežniško hribovje",Osojnica,335902,73,2,2,820,vrh
"Goriško, Notranjsko in Snežniško hribovje",Ljubljanski vrh,323099,72,1,1,819,vrh
"Goriško, Notranjsko in Snežniško hribovje",Lovska koča Trešnja ravan,2380,29,1,2,818,Ni podana
"Goriško, Notranjsko in Snežniško hribovje",Sveti Socerb (Artviže),378847,78,3,8,817,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Goli vrh (Cemarovnik),174098,55,1,4,816,vrh
"Goriško, Notranjsko in Snežniško hribovje",Medvedje Brdo,394031,80,6,8,814,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Korada,523107,92,3,2,812,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Globočak,194886,57,2,8,809,vrh
"Goriško, Notranjsko in Snežniško hribovje",Mali Trebelnik,140519,51,2,1,807,vrh
"Goriško, Notranjsko in Snežniško hribovje",Sveti Lenart (Krvava Peč),288193,68,5,4,805,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Ajdovščina,7880,37,1,5,804,vrh
"Goriško, Notranjsko in Snežniško hribovje",Lipnik,339312,74,1,7,804,vrh
"Goriško, Notranjsko in Snežniško hribovje",Zavetišče na Koradi,331877,73,2,1,803,koča
"Goriško, Notranjsko in Snežniško hribovje",Kojnik,416577,82,3,2,802,vrh
"Goriško, Notranjsko in Snežniško hribovje",Ulovka,420733,83,3,4,801,vrh
"Goriško, Notranjsko in Snežniško hribovje",Otliško okno,568938,95,3,10,800,Ni podana
"Goriško, Notranjsko in Snežniško hribovje",Slap Kotel,206189,59,1,5,799,"slap, jezero"
"Goriško, Notranjsko in Snežniško hribovje",Ahac,202647,58,6,7,799,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Gradiška Tura,637048,97,5,7,793,vrh
"Goriško, Notranjsko in Snežniško hribovje",Gradišče (Čepan),126423,49,1,5,791,vrh
"Goriško, Notranjsko in Snežniško hribovje",Rakitna,432376,84,2,11,789,"koča, jezero, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Sveta Marija na Planinski gori,362781,77,4,6,782,cerkev
"Goriško, Notranjsko in Snežniško hribovje",Vrh,116399,48,1,3,777,vrh
"Goriško, Notranjsko in Snežniško hribovje",Lovska koča Vojkovo,247932,63,5,5,775,koča
"Goriško, Notranjsko in Snežniško hribovje",Trenk,2290,28,1,4,769,Ni podana
"Goriško, Notranjsko in Snežniško hribovje",Ortneški Stari grad,191994,57,1,5,765,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Pečna reber,295026,69,1,7,763,"vrh, koča"
"Goriško, Notranjsko in Snežniško hribovje",Planinski dom na Kureščku,293732,69,3,4,760,koča
"Goriško, Notranjsko in Snežniško hribovje",Razgledna točka Široko,4840,34,1,5,755,vrh
"Goriško, Notranjsko in Snežniško hribovje",Sveti Primož in Felicijan (Osredek),171478,54,1,4,751,"vrh, koča, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Šilentabor,291534,68,6,8,751,vrh
"Goriško, Notranjsko in Snežniško hribovje",Bloško jezero,438028,84,4,13,748,"koča, jezero"
"Goriško, Notranjsko in Snežniško hribovje",Veliko Gradišče,250174,64,2,4,742,vrh
"Goriško, Notranjsko in Snežniško hribovje",Dom na Goropekah,300909,69,2,3,742,koča
"Goriško, Notranjsko in Snežniško hribovje",Planinski dom pod Ježo,166614,54,1,12,740,koča
"Goriško, Notranjsko in Snežniško hribovje",Sveti Gregor na Slemenih,183183,56,1,2,737,"vrh, koča, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Hrpeljska gora,232633,62,3,3,737,vrh
"Goriško, Notranjsko in Snežniško hribovje",Škavnica,4090,33,1,6,734,vrh
"Goriško, Notranjsko in Snežniško hribovje",Koča na Planini nad Vrhniko,636544,97,10,13,733,"vrh, koča"
"Goriško, Notranjsko in Snežniško hribovje",Koča na Kavcu,240837,62,1,5,730,Ni podana
"Goriško, Notranjsko in Snežniško hribovje",Čičer,4110,33,1,1,726,Ni podana
"Goriško, Notranjsko in Snežniško hribovje",Šenčurjev vrh,4648,34,2,4,725,vrh
"Goriško, Notranjsko in Snežniško hribovje",Sveti Urh (Zavratec),2740,30,3,4,724,cerkev
"Goriško, Notranjsko in Snežniško hribovje",Sveti Martin (Šilentabor),164959,54,4,11,723,cerkev
"Goriško, Notranjsko in Snežniško hribovje",Primož,260874,65,2,12,718,vrh
"Goriško, Notranjsko in Snežniško hribovje",Planina Jegno,189227,57,1,2,715,planina
"Goriško, Notranjsko in Snežniško hribovje",Stari grad,167997,54,1,2,703,vrh
"Goriško, Notranjsko in Snežniško hribovje",Obrovnik,471,15,1,2,700,vrh
"Goriško, Notranjsko in Snežniško hribovje",Mali Mošenik,92,6,1,0,700,vrh
"Goriško, Notranjsko in Snežniško hribovje",Grad Lož (Pusti grad),4612,34,1,3,698,vrh
"Goriško, Notranjsko in Snežniško hribovje",Sveti Janez Krstnik (Goropeke),1220,22,1,4,682,cerkev
"Goriško, Notranjsko in Snežniško hribovje",Sveta Gora,519468,92,13,14,681,"vrh, koča, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Sv. Katarina nad Novokračinami,3678,33,2,10,675,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Sveta Barbara (Ravnik pri Hotedršici),3229,31,1,3,674,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Goropeški grič (Pikrej),923,20,1,2,672,vrh
"Goriško, Notranjsko in Snežniško hribovje",Skozno,289206,68,2,9,671,Ni podana
"Goriško, Notranjsko in Snežniško hribovje",Kokoš,630024,96,9,4,670,"vrh, koča"
"Goriško, Notranjsko in Snežniško hribovje",Rajna peč,2391,29,1,4,656,vrh
"Goriško, Notranjsko in Snežniško hribovje",Vodice,371379,77,11,12,651,vrh
"Goriško, Notranjsko in Snežniško hribovje",Jampršnik,229277,61,2,2,649,vrh
"Goriško, Notranjsko in Snežniško hribovje",Škabrijel,493728,90,6,4,646,vrh
"Goriško, Notranjsko in Snežniško hribovje",Trstelj,556851,94,9,6,643,vrh
"Goriško, Notranjsko in Snežniško hribovje",Rimska trdnjava (Lanišče),2560,29,1,5,635,Ni podana
"Goriško, Notranjsko in Snežniško hribovje",Frančiškov hrib,209235,59,3,5,632,vrh
"Goriško, Notranjsko in Snežniško hribovje",Stol (Črni hribi),156016,53,1,1,629,vrh
"Goriško, Notranjsko in Snežniško hribovje",Strmica,2970,31,1,2,626,vrh
"Goriško, Notranjsko in Snežniško hribovje",Lovska koča Plehanov laz,2460,29,1,3,625,koča
"Goriško, Notranjsko in Snežniško hribovje",Partizanska bolnica Krvavice,281355,67,1,6,620,Ni podana
"Goriško, Notranjsko in Snežniško hribovje",Kuk nad Paljevim,3186,31,3,6,612,"vrh, bivak"
"Goriško, Notranjsko in Snežniško hribovje",Lovski dom pod Glavico,142908,51,2,3,610,"koča, sedlo"
"Goriško, Notranjsko in Snežniško hribovje",Stjenkova koča na Trstelju,396758,80,8,3,610,koča
"Goriško, Notranjsko in Snežniško hribovje",Sabotin,630064,96,5,5,609,vrh
"Goriško, Notranjsko in Snežniško hribovje",Vitovski hrib,259406,65,4,6,604,"vrh, cerkev"
"Goriško, Notranjsko in Snežniško hribovje",Stari tabor,326263,73,6,3,603,vrh
"Goriško, Notranjsko in Snežniško hribovje",Unška koliševka,345521,75,1,11,594,Ni podana
