ime,vrsta
Kopica,vrh
Kopica,vrh
Plešivec (Loška stena),vrh
Plešivec (Loška stena),vrh
Gomiščkovo zavetišče na Krnu,koča
Gomiščkovo zavetišče na Krnu,bivak
Gomiščkovo zavetišče na Krnu,koča
Gomiščkovo zavetišče na Krnu,bivak
Prvi Vogel,vrh
Prvi Vogel,vrh
Bivak v Veliki Dnini,bivak
Bivak v Veliki Dnini,bivak
Vrh nad Peski,vrh
Vrh nad Peski,vrh
Batognica,vrh
Batognica,vrh
Zgornje Kriško jezero,jezero
Zgornje Kriško jezero,jezero
Koča na Doliču,koča
Koča na Doliču,sedlo
Koča na Doliču,koča
Koča na Doliču,sedlo
Bivak Tarvisio,bivak
Bivak Tarvisio,sedlo
Bivak Tarvisio,bivak
Bivak Tarvisio,sedlo
Velika Baba (Kanin),vrh
Velika Baba (Kanin),vrh
Bela peč/Monte Bila pec,vrh
Bela peč/Monte Bila pec,vrh
Krnčica,vrh
Krnčica,vrh
Teme,vrh
Teme,vrh
Kotovo sedlo,sedlo
Kotovo sedlo,sedlo
Mali Draški vrh,vrh
Mali Draški vrh,vrh
Glava za Bajto,vrh
Glava za Bajto,vrh
Jerebica,vrh
Jerebica,vrh
Veliki Babanski Skedenj,vrh
Veliki Babanski Skedenj,vrh
Šmihelovec,vrh
Šmihelovec,vrh
Bivak na Jezerih,bivak
Bivak na Jezerih,bivak
Trentski Pelc,vrh
Trentski Pelc,vrh
Vršac (nad Zadnjo Trento),vrh
Vršac (nad Zadnjo Trento),vrh
Suhi vrh,vrh
Suhi vrh,vrh
Goličica,vrh
Goličica,vrh
Cesar,vrh
Cesar,vrh
Velika Tičarica,vrh
Velika Tičarica,vrh
Zagorelec,vrh
Zagorelec,vrh
Poldašnja špica/Jof di Miezegnot,vrh
Poldašnja špica/Jof di Miezegnot,vrh
Ogradi,vrh
Ogradi,vrh
Šitna glava,vrh
Šitna glava,vrh
Tolminski Kuk,vrh
Tolminski Kuk,vrh
Zadnjiški Ozebnik,vrh
Zadnjiški Ozebnik,vrh
Sleme,vrh
Sleme,vrh
Slatna,vrh
Slatna,vrh
Prevalski Stog,vrh
Prevalski Stog,vrh
Rigljica,vrh
Rigljica,vrh
Kamniti lovec / Cima del Cacciatore,vrh
Kamniti lovec / Cima del Cacciatore,vrh
Zasavska koča na Prehodavcih,vrh
Zasavska koča na Prehodavcih,koča
Zasavska koča na Prehodavcih,bivak
Zasavska koča na Prehodavcih,vrh
Zasavska koča na Prehodavcih,koča
Zasavska koča na Prehodavcih,bivak
Mala Tičarica,vrh
Mala Tičarica,vrh
Visoki Pipar,vrh
Visoki Pipar,vrh
Zavetišče pod Špičkom,koča
Zavetišče pod Špičkom,bivak
Zavetišče pod Špičkom,koča
Zavetišče pod Špičkom,bivak
Poldnik (Kopa) / Picco di Mezzodi,vrh
Poldnik (Kopa) / Picco di Mezzodi,vrh
Podrta gora,vrh
Podrta gora,vrh
Veliki Pršivec,vrh
Veliki Pršivec,vrh
Vrh nad Škrbino,vrh
Vrh nad Škrbino,vrh
Zeleni vrh,vrh
Zeleni vrh,vrh
Pogačnikov dom na Kriških podih,vrh
Pogačnikov dom na Kriških podih,koča
Pogačnikov dom na Kriških podih,bivak
Pogačnikov dom na Kriških podih,vrh
Pogačnikov dom na Kriških podih,koča
Pogačnikov dom na Kriških podih,bivak
Viševnik,vrh
Viševnik,vrh
Cima Alta (Dve špici),vrh
Cima Alta (Dve špici),vrh
Veliki Lemež,vrh
Veliki Lemež,vrh
Bivak Marrusich,bivak
Bivak Marrusich,sedlo
Bivak Marrusich,bivak
Bivak Marrusich,sedlo
Jezerski Stog,vrh
Jezerski Stog,vrh
Na Pečeh,vrh
Na Pečeh,vrh
Srednji vrh (nad jezerom v Lužnici),vrh
Srednji vrh (nad jezerom v Lužnici),vrh
Drobeče Sleme,vrh
Drobeče Sleme,vrh
Kreda,vrh
Kreda,vrh
Eva,vrh
Eva,vrh
Velika Baba,vrh
Velika Baba,vrh
Debela peč,vrh
Debela peč,vrh
Lopatnik,vrh
Lopatnik,vrh
Adam,vrh
Adam,vrh
Cima Vildiver (Dve špici),vrh
Cima Vildiver (Dve špici),vrh
Mahavšček,vrh
Mahavšček,vrh
Brda,vrh
Brda,vrh
Rjavo jezero,jezero
Rjavo jezero,jezero
Ablanca,vrh
Ablanca,vrh
Lanževica,vrh
Lanževica,vrh
Kal,vrh
Kal,vrh
Meja,vrh
Meja,vrh
Vrh nad Vodeno Rupo,vrh
Vrh nad Vodeno Rupo,vrh
Zeleno jezero,jezero
Zeleno jezero,jezero
Vratni vrh,vrh
Vratni vrh,vrh
Vogel (nad Lepeno),vrh
Vogel (nad Lepeno),vrh
Velika Bavha / Monte Robon,vrh
Velika Bavha / Monte Robon,vrh
Bivak na Rušju,bivak
Bivak na Rušju,bivak
Draški rob,vrh
Draški rob,vrh
Bogatin,vrh
Bogatin,vrh
Pri Banderi,vrh
Pri Banderi,vrh
Lipanski vrh,vrh
Lipanski vrh,vrh
Vrh Planje,vrh
Vrh Planje,vrh
Monte Gosadon,vrh
Monte Gosadon,vrh
Raskovec,vrh
Raskovec,vrh
Rodica,vrh
Rodica,vrh
Vrh Ovčje planje,vrh
Vrh Ovčje planje,vrh
Okroglež,vrh
Okroglež,vrh
Bivak pod Kotovim sedlom,bivak
Bivak pod Kotovim sedlom,bivak
Mrežce,vrh
Mrežce,vrh
Plešivec,vrh
Plešivec,vrh
Debeli vrh nad Lipanco,vrh
Debeli vrh nad Lipanco,vrh
Velika Montura,vrh
Velika Montura,vrh
Lopič / Monte Plauris,vrh
Lopič / Monte Plauris,vrh
Vrh Leh,vrh
Vrh Leh,vrh
Veliki Selišnik,vrh
Veliki Selišnik,vrh
Bivak Gorizia,bivak
Bivak Gorizia,bivak
Mali Raskovec,vrh
Mali Raskovec,vrh
Suha Rodica (Novi vrh),vrh
Suha Rodica (Novi vrh),vrh
Veliki Šmohor,vrh
Veliki Šmohor,vrh
Prednje Robičje,vrh
Prednje Robičje,vrh
Mali Šmohor,vrh
Mali Šmohor,vrh
Matajurski vrh,vrh
Matajurski vrh,vrh
Vrh Škrli,vrh
Vrh Škrli,vrh
Macesnovec,vrh
Macesnovec,vrh
Bela glava,vrh
Bela glava,vrh
Mala Ponca,vrh
Mala Ponca,vrh
Vogel,vrh
Vogel,vrh
Rušnati vrh,vrh
Rušnati vrh,vrh
Rdeči rob,vrh
Rdeči rob,vrh
Kraljevska špica/Monte Re,vrh
Kraljevska špica/Monte Re,vrh
Slemenova špica,vrh
Slemenova špica,planina
Slemenova špica,vrh
Slemenova špica,planina
Speleološki bivak Modonutti - Savoia,bivak
Speleološki bivak Modonutti - Savoia,sedlo
Speleološki bivak Modonutti - Savoia,bivak
Speleološki bivak Modonutti - Savoia,sedlo
Bivak Bernardinis,bivak
Bivak Bernardinis,bivak
Mangartska koča na Mangartskem sedlu,koča
Mangartska koča na Mangartskem sedlu,koča
Mala Rodica,vrh
Mala Rodica,vrh
Kser,vrh
Kser,vrh
Rušnata glava,vrh
Rušnata glava,vrh
Vrtaški vrh,vrh
Vrtaški vrh,vrh
Poljanski vrh,vrh
Poljanski vrh,vrh
Vrh Krnic,vrh
Vrh Krnic,vrh
Vrh Razora,vrh
Vrh Razora,vrh
Studorski preval,sedlo
Studorski preval,sedlo
Srednji Selišnik,vrh
Srednji Selišnik,vrh
Krniška glavica / Jof di Sompdogna,vrh
Krniška glavica / Jof di Sompdogna,bivak
Krniška glavica / Jof di Sompdogna,vrh
Krniška glavica / Jof di Sompdogna,bivak
Klečica,vrh
Klečica,vrh
Velika Glava,vrh
Velika Glava,vrh
Šija,vrh
Šija,vrh
Spodnje Kriško jezero,jezero
Spodnje Kriško jezero,jezero
Krsteniški Stog,vrh
Krsteniški Stog,vrh
Konjski vrh,vrh
Konjski vrh,vrh
Čisti vrh,vrh
Čisti vrh,vrh
Rifugio Corsi,koča
Rifugio Corsi,koča
Tolminski Migovec,vrh
Tolminski Migovec,vrh
Požgana Mlinarica,vrh
Požgana Mlinarica,vrh
Vrh Planje (nad Globokim),vrh
Vrh Planje (nad Globokim),vrh
Skutnik/Torre Guarda,vrh
Skutnik/Torre Guarda,vrh
Vrh Dlani,vrh
Vrh Dlani,vrh
Bivak Nogara,bivak
Bivak Nogara,bivak
Rifugio Gilberti,koča
Rifugio Gilberti,koča
Šober / Monte Sciober Grande,vrh
Šober / Monte Sciober Grande,vrh
Žabiški Kuk,vrh
Žabiški Kuk,vrh
Črna prst,vrh
Črna prst,koča
Črna prst,bivak
Črna prst,vrh
Črna prst,koča
Črna prst,bivak
Četrt,vrh
Četrt,vrh
Jezero v Ledvicah,jezero
Jezero v Ledvicah,jezero
Kovačičeva glava,vrh
Kovačičeva glava,vrh
Visoka glava,vrh
Visoka glava,vrh
Vodnikov dom na Velem polju,koča
Vodnikov dom na Velem polju,bivak
Vodnikov dom na Velem polju,koča
Vodnikov dom na Velem polju,bivak
Stara koča na Kaninu,bivak
Stara koča na Kaninu,bivak
Pri treh macesnih,bivak
Pri treh macesnih,bivak
Vrtec,vrh
Vrtec,vrh
Jezero v Lužnici,jezero
Jezero v Lužnici,jezero
Visoki Orlov rob,vrh
Visoki Orlov rob,vrh
Škraplja,vrh
Škraplja,vrh
Plesišče,vrh
Plesišče,vrh
Kumlehova glava,vrh
Kumlehova glava,vrh
Rušni vrh,vrh
Rušni vrh,vrh
Stadorski Orliči,vrh
Stadorski Orliči,vrh
Rušnata Mlinarica,vrh
Rušnata Mlinarica,vrh
Krasji vrh,vrh
Krasji vrh,vrh
Rigeljc,vrh
Rigeljc,vrh
Veliki vrh (Polovnik),vrh
Veliki vrh (Polovnik),vrh
Čukla,vrh
Čukla,vrh
Svete Višarje / Monte Lussari,vrh
Svete Višarje / Monte Lussari,koča
Svete Višarje / Monte Lussari,cerkev
Svete Višarje / Monte Lussari,vrh
Svete Višarje / Monte Lussari,koča
Svete Višarje / Monte Lussari,cerkev
Kurji vrh,vrh
Kurji vrh,vrh
Pršivec,vrh
Pršivec,vrh
Glave,vrh
Glave,vrh
Luknja,sedlo
Luknja,sedlo
Sovna glava,vrh
Sovna glava,vrh
Zavitar,vrh
Zavitar,vrh
Visoka peč,vrh
Visoka peč,vrh
Ciprnik,vrh
Ciprnik,vrh
Vršič vrh,vrh
Vršič vrh,vrh
Skutnik /Monte Guarda,vrh
Skutnik /Monte Guarda,vrh
Planina Jezerce,jezero
Planina Jezerce,planina
Planina Jezerce,jezero
Planina Jezerce,planina
Planina Zgornja Krma,planina
Planina Zgornja Krma,planina
Veliki Karman / Monte Chiampon,planina
Veliki Karman / Monte Chiampon,planina
Rutarski Vršič,vrh
Rutarski Vršič,vrh
Gradovec,vrh
Gradovec,vrh
Poštarski dom na Vršiču,koča
Poštarski dom na Vršiču,koča
Koča pri Triglavskih jezerih,koča
Koča pri Triglavskih jezerih,jezero
Koča pri Triglavskih jezerih,bivak
Koča pri Triglavskih jezerih,koča
Koča pri Triglavskih jezerih,jezero
Koča pri Triglavskih jezerih,bivak
Orlove glave,vrh
Orlove glave,vrh
Velo polje,planina
Velo polje,planina
Stol (Julijske Alpe),vrh
Stol (Julijske Alpe),vrh
Planina Krstenica,planina
Planina Krstenica,planina
Na Glavi,vrh
Na Glavi,vrh
Jehlc (Špičasta kupa),vrh
Jehlc (Špičasta kupa),vrh
Rifugio di Brazza,koča
Rifugio di Brazza,bivak
Rifugio di Brazza,koča
Rifugio di Brazza,bivak
Planina Ovčarija,planina
Planina Ovčarija,planina
Zavetišče pod Ponco,bivak
Zavetišče pod Ponco,bivak
Lisc (Lisec),vrh
Lisc (Lisec),vrh
Florjanka / Monte Florianca,vrh
Florjanka / Monte Florianca,jezero
Florjanka / Monte Florianca,vrh
Florjanka / Monte Florianca,jezero
Svinjak,vrh
Svinjak,vrh
Planina pod Mišelj vrhom,jezero
Planina pod Mišelj vrhom,planina
Planina pod Mišelj vrhom,jezero
Planina pod Mišelj vrhom,planina
Matajur,vrh
Matajur,cerkev
Matajur,vrh
Matajur,cerkev
Gabrovec (Veliki Muzec),vrh
Gabrovec (Veliki Muzec),vrh
Blejska koča na Lipanci,koča
Blejska koča na Lipanci,planina
Blejska koča na Lipanci,koča
Blejska koča na Lipanci,planina
Planina Viševnik,koča
Planina Viševnik,planina
Planina Viševnik,koča
Planina Viševnik,planina
Vošni vrh,vrh
Vošni vrh,vrh
Tičarjev dom na Vršiču,koča
Tičarjev dom na Vršiču,koča
Breški Jalovec / Punta di Montemaggiore,vrh
Breški Jalovec / Punta di Montemaggiore,vrh
Muzec - Musc (Mali Muzec),vrh
Muzec - Musc (Mali Muzec),vrh
Slatnik (severozahodni vrh),vrh
Slatnik (severozahodni vrh),vrh
Možic,vrh
Možic,vrh
Planina za Migovcem,planina
Planina za Migovcem,planina
Slatnik (jugovzhodni vrh),vrh
Slatnik (jugovzhodni vrh),vrh
Nemške glave,vrh
Nemške glave,vrh
Jerebikovec,vrh
Jerebikovec,bivak
Jerebikovec,vrh
Jerebikovec,bivak
Lovska koča Berebica,planina
Lovska koča Berebica,sedlo
Lovska koča Berebica,planina
Lovska koča Berebica,sedlo
Bivak Stuparich,bivak
Bivak Stuparich,bivak
Brinova glava,vrh
Brinova glava,vrh
Šavnik,vrh
Šavnik,vrh
Grušnica,vrh
Grušnica,vrh
Višarska planina / Malga di Lussari,planina
Višarska planina / Malga di Lussari,planina
Visoki Mavrinc,vrh
Visoki Mavrinc,vrh
Planina v Lazu,planina
Planina v Lazu,planina
Planina Dedno Polje,planina
Planina Dedno Polje,planina
Planina Lopučnica,planina
Planina Lopučnica,planina
Javoršček,vrh
Javoršček,vrh
Planina Klek,planina
Planina Klek,planina
Mojčin dom na Vitrancu,koča
Mojčin dom na Vitrancu,koča
Planja (nad Mangartsko planino),vrh
Planja (nad Mangartsko planino),vrh
Bivak pod Muzcem,bivak
Bivak pod Muzcem,sedlo
Bivak pod Muzcem,bivak
Bivak pod Muzcem,sedlo
Lajnar,vrh
Lajnar,vrh
Planina v Plazeh,planina
Planina v Plazeh,sedlo
Planina v Plazeh,planina
Planina v Plazeh,sedlo
Dravh,vrh
Dravh,vrh
Dom na Matajure,koča
Dom na Matajure,koča
Požar,vrh
Požar,vrh
Kravja Črna gora,vrh
Kravja Črna gora,vrh
Visoka glava (na Matajurju),vrh
Visoka glava (na Matajurju),vrh
Mesnovec,vrh
Mesnovec,vrh
Planinska koča Merjasec,koča
Planinska koča Merjasec,koča
Viška planina,planina
Viška planina,planina
Planina na Polju,planina
Planina na Polju,planina
Lovska koča na Glinu,vrh
Lovska koča na Glinu,vrh
Erjavčeva koča na Vršiču,koča
Erjavčeva koča na Vršiču,koča
Rifugio Cinque Punte,bivak
Rifugio Cinque Punte,bivak
Dom na Komni,koča
Dom na Komni,koča
Planina Ravna,bivak
Planina Ravna,planina
Planina Ravna,cerkev
Planina Ravna,bivak
Planina Ravna,planina
Planina Ravna,cerkev
Krevl,vrh
Krevl,vrh
Koča pod Bogatinom,koča
Koča pod Bogatinom,planina
Koča pod Bogatinom,koča
Koča pod Bogatinom,planina
Planina Za skalo,planina
Planina Za skalo,planina
Malga Granuda,planina
Malga Granuda,planina
Lovska koča Na Utrci,planina
Lovska koča Na Utrci,planina
Rifugio Pellarini,koča
Rifugio Pellarini,koča
Lengarjeva glava,vrh
Lengarjeva glava,vrh
Kobla,vrh
Kobla,vrh
Planina na Kalu,bivak
Planina na Kalu,planina
Planina na Kalu,bivak
Planina na Kalu,planina
Nizki vrh,vrh
Nizki vrh,vrh
Črni vrh / Colrotondo,vrh
Črni vrh / Colrotondo,vrh
Planina Vodični vrh,planina
Planina Vodični vrh,planina
Javorov vrh (Pokljuka),vrh
Javorov vrh (Pokljuka),vrh
Planina Govnjač,planina
Planina Govnjač,planina
Bivak pod Luknjo,bivak
Bivak pod Luknjo,bivak
Kobilja glava,vrh
Kobilja glava,vrh
Planina Poljana,planina
Planina Poljana,planina
Vrtaška planina,bivak
Vrtaška planina,planina
Vrtaška planina,bivak
Vrtaška planina,planina
Koča na Planini pri Jezeru,koča
Koča na Planini pri Jezeru,jezero
Koča na Planini pri Jezeru,bivak
Koča na Planini pri Jezeru,planina
Koča na Planini pri Jezeru,koča
Koča na Planini pri Jezeru,jezero
Koča na Planini pri Jezeru,bivak
Koča na Planini pri Jezeru,planina
Jalovnik,vrh
Jalovnik,vrh
Planina Sleme,planina
Planina Sleme,sedlo
Planina Sleme,planina
Planina Sleme,sedlo
Laghetto di Somdogna,jezero
Laghetto di Somdogna,jezero
Risnati rob (Polevec),vrh
Risnati rob (Polevec),vrh
Planina Konjščica,koča
Planina Konjščica,planina
Planina Konjščica,koča
Planina Konjščica,planina
Rifugio Brunner,koča
Rifugio Brunner,koča
Bivak pod Špikom,koča
Bivak pod Špikom,bivak
Bivak pod Špikom,koča
Bivak pod Špikom,bivak
Planina Zadnji Vogel,planina
Planina Zadnji Vogel,planina
Planina Zgornja Gorjuda,bivak
Planina Zgornja Gorjuda,planina
Planina Zgornja Gorjuda,bivak
Planina Zgornja Gorjuda,planina
Planina nad Sočo,planina
Planina nad Sočo,planina
Planina Osredki,bivak
Planina Osredki,planina
Planina Osredki,bivak
Planina Osredki,planina
Krnsko jezero,jezero
Krnsko jezero,planina
Krnsko jezero,jezero
Krnsko jezero,planina
Mali vrh (na Mežakli),vrh
Mali vrh (na Mežakli),vrh
Rifugio Grego,koča
Rifugio Grego,bivak
Rifugio Grego,koča
Rifugio Grego,bivak
Planina Zapotok,planina
Planina Zapotok,planina
Planina Suha,planina
Planina Suha,planina
Dom pri Krnskih jezerih,koča
Dom pri Krnskih jezerih,bivak
Dom pri Krnskih jezerih,koča
Dom pri Krnskih jezerih,bivak
Tonkina koča na Vršiču,koča
Tonkina koča na Vršiču,koča
Rifugio Zacchi,koča
Rifugio Zacchi,koča
Planica pod Krnom,vrh
Planica pod Krnom,vrh
Lipenšči hrib,vrh
Lipenšči hrib,vrh
Mali Karman / Monte Cuarnan,vrh
Mali Karman / Monte Cuarnan,vrh
Javor (nad Tolminskimi Ravnami),vrh
Javor (nad Tolminskimi Ravnami),vrh
Mrzli vrh nad planino Pretovč,vrh
Mrzli vrh nad planino Pretovč,vrh
Planina Strehica,planina
Planina Strehica,planina
Mrzli vrh (na Matajurju),vrh
Mrzli vrh (na Matajurju),vrh
Črna gora,vrh
Črna gora,bivak
Črna gora,vrh
Črna gora,bivak
Orožnova koča na planini za Liscem,koča
Orožnova koča na planini za Liscem,planina
Orožnova koča na planini za Liscem,koča
Orožnova koča na planini za Liscem,planina
Škrbinjek,vrh
Škrbinjek,vrh
Bivak Za Akom,bivak
Bivak Za Akom,bivak
Planina Za Črno goro,planina
Planina Za Črno goro,planina
Planina Goričica,planina
Planina Goričica,planina
Frčkova planina,planina
Frčkova planina,planina
Srednji vrh (na Matajurju),vrh
Srednji vrh (na Matajurju),vrh
Planina za Šavnikom,bivak
Planina za Šavnikom,planina
Planina za Šavnikom,bivak
Planina za Šavnikom,planina
Koča na planini Razor,koča
Koča na planini Razor,bivak
Koča na planini Razor,planina
Koča na planini Razor,koča
Koča na planini Razor,bivak
Koča na planini Razor,planina
Kota 1313,vrh
Kota 1313,vrh
Koča na Soriški planini,koča
Koča na Soriški planini,planina
Koča na Soriški planini,koča
Koča na Soriški planini,planina
Planina Dobrenjščica,planina
Planina Dobrenjščica,planina
Lovska koča Bala,planina
Lovska koča Bala,planina
Mangartska planina,planina
Mangartska planina,planina
Črno jezero,jezero
Črno jezero,jezero
Planina Zajavornik,planina
Planina Zajavornik,planina
Planina Zajamniki,koča
Planina Zajamniki,planina
Planina Zajamniki,koča
Planina Zajamniki,planina
Vrh Bače,sedlo
Vrh Bače,sedlo
Rečiška planina,planina
Rečiška planina,planina
Galetovec,vrh
Galetovec,vrh
Berjanca,vrh
Berjanca,vrh
Zgornji Goreljek (Pokljuka),koča
Zgornji Goreljek (Pokljuka),planina
Zgornji Goreljek (Pokljuka),cerkev
Zgornji Goreljek (Pokljuka),koča
Zgornji Goreljek (Pokljuka),planina
Zgornji Goreljek (Pokljuka),cerkev
Planina Krnica,planina
Planina Krnica,planina
Idrska planina,planina
Idrska planina,planina
Planina Zgornja Grintovica,planina
Planina Zgornja Grintovica,planina
Turn (nad Bohinjsko Belo),vrh
Turn (nad Bohinjsko Belo),vrh
Planina Berebica,planina
Planina Berebica,planina
Planina Zagreben,planina
Planina Zagreben,planina
Belska planina,planina
Belska planina,planina
Izvir Nadiže,slap
Izvir Nadiže,slap
Planina Zgornji Kozjek,planina
Planina Zgornji Kozjek,planina
Planina Leskovca,planina
Planina Leskovca,planina
Koča na Gozdu,koča
Koča na Gozdu,koča
Bivak Hlek,bivak
Bivak Hlek,bivak
Spodnji Goreljek (Pokljuka),planina
Spodnji Goreljek (Pokljuka),planina
Italijanska vojaška kapela na Planici,cerkev
Italijanska vojaška kapela na Planici,cerkev
Svinska planina,planina
Svinska planina,planina
Grajska planina (Ribšca),jezero
Grajska planina (Ribšca),planina
Grajska planina (Ribšca),jezero
Grajska planina (Ribšca),planina
Škrbina (Mežakla),vrh
Škrbina (Mežakla),vrh
Planina Zaprikraj,planina
Planina Zaprikraj,planina
Lovska koča Mali Vokel,planina
Lovska koča Mali Vokel,planina
Lovčev bivak Pri Koucah,planina
Lovčev bivak Pri Koucah,planina
Police,vrh
Police,vrh
Planina Bala,planina
Planina Bala,planina
Planina Spodnja Grintovica,planina
Planina Spodnja Grintovica,planina
Planina Ilovec,planina
Planina Ilovec,planina
Planina Pretovč,planina
Planina Pretovč,sedlo
Planina Pretovč,planina
Planina Pretovč,sedlo
Bivak na Črniku,bivak
Bivak na Črniku,bivak
Koča na Uskovnici,koča
Koča na Uskovnici,planina
Koča na Uskovnici,cerkev
Koča na Uskovnici,koča
Koča na Uskovnici,planina
Koča na Uskovnici,cerkev
Zgornji Martuljkov slap,slap
Zgornji Martuljkov slap,slap
Planina Blato,planina
Planina Blato,planina
Gozdarska koča Mali Vokel,planina
Gozdarska koča Mali Vokel,planina
Zapotoški slapovi,slap
Zapotoški slapovi,slap
Planina Medrja,planina
Planina Medrja,planina
Snežna jama na Mežakli,planina
Snežna jama na Mežakli,planina
Ruska kapelica,cerkev
Ruska kapelica,cerkev
Bedančev dom,koča
Bedančev dom,koča
Koča v Krnici,koča
Koča v Krnici,koča
Dom v Tamarju,koča
Dom v Tamarju,planina
Dom v Tamarju,cerkev
Dom v Tamarju,koča
Dom v Tamarju,planina
Dom v Tamarju,cerkev
Hotunjski vrh,vrh
Hotunjski vrh,vrh
Planina Lom,planina
Planina Lom,sedlo
Planina Lom,planina
Planina Lom,sedlo
Mihov dom na Vršiču,koča
Mihov dom na Vršiču,koča
Kobala,vrh
Kobala,vrh
Malga Cuarnan,koča
Malga Cuarnan,koča
Planina v Prodih,planina
Planina v Prodih,planina
Kosijev dom na Vogarju,koča
Kosijev dom na Vogarju,planina
Kosijev dom na Vogarju,koča
Kosijev dom na Vogarju,planina
Slapovi v Kotu,slap
Slapovi v Kotu,slap
Partizanska bolnišnica na Mežakli,slap
Partizanska bolnišnica na Mežakli,slap
Koča na planini Stador,koča
Koča na planini Stador,planina
Koča na planini Stador,koča
Koča na planini Stador,planina
Kup,vrh
Kup,vrh
Planina Obranica,koča
Planina Obranica,planina
Planina Obranica,koča
Planina Obranica,planina
Planinsko zavetišče Slatna,koča
Planinsko zavetišče Slatna,koča
Vodnikov razglednik,vrh
Vodnikov razglednik,vrh
Aljažev dom v Vratih,koča
Aljažev dom v Vratih,bivak
Aljažev dom v Vratih,cerkev
Aljažev dom v Vratih,koča
Aljažev dom v Vratih,bivak
Aljažev dom v Vratih,cerkev
Jezerska planina / Alpe del Lago,planina
Jezerska planina / Alpe del Lago,planina
Planina za Jamo,planina
Planina za Jamo,planina
Studor,vrh
Studor,jezero
Studor,planina
Studor,vrh
Studor,jezero
Studor,planina
Koča na planini Kuhinja,koča
Koča na planini Kuhinja,planina
Koča na planini Kuhinja,koča
Koča na planini Kuhinja,planina
Klatnica,planina
Klatnica,planina
Planina Laška seč,planina
Planina Laška seč,planina
Izvir Soče,slap
Izvir Soče,slap
Sveta Marjeta pod Stolom,cerkev
Sveta Marjeta pod Stolom,cerkev
Ožarjeni kamen,cerkev
Ožarjeni kamen,cerkev
Planina Ravne,planina
Planina Ravne,planina
Slap Suha,slap
Slap Suha,slap
Rudnica,vrh
Rudnica,vrh
Boršt,vrh
Boršt,vrh
Slap Zaročenca,slap
Slap Zaročenca,slap
Ingotova koča na planini Jesenje,koča
Ingotova koča na planini Jesenje,planina
Ingotova koča na planini Jesenje,cerkev
Ingotova koča na planini Jesenje,koča
Ingotova koča na planini Jesenje,planina
Ingotova koča na planini Jesenje,cerkev
Zgornje Mangartsko jezero,koča
Zgornje Mangartsko jezero,jezero
Zgornje Mangartsko jezero,koča
Zgornje Mangartsko jezero,jezero
Spodnje Mangartsko jezero,koča
Spodnje Mangartsko jezero,jezero
Spodnje Mangartsko jezero,koča
Spodnje Mangartsko jezero,jezero
Planina Rčitno,planina
Planina Rčitno,planina
Kres nad Kočno,vrh
Kres nad Kočno,vrh
Planina Blatce,planina
Planina Blatce,planina
Kovinarska koča v Krmi,koča
Kovinarska koča v Krmi,planina
Kovinarska koča v Krmi,koča
Kovinarska koča v Krmi,planina
Vrše,vrh
Vrše,vrh
Izvir Boke,vrh
Izvir Boke,vrh
Slap Peričnik - zgornji slap,slap
Slap Peričnik - zgornji slap,slap
Spodnji Martuljkov slap,slap
Spodnji Martuljkov slap,slap
Zelenci,jezero
Zelenci,jezero
Grančišče,vrh
Grančišče,vrh
Logje,planina
Logje,planina
Hom pri Bledu,vrh
Hom pri Bledu,vrh
Jezero Jasna,koča
Jezero Jasna,jezero
Jezero Jasna,koča
Jezero Jasna,jezero
Pokljuška soteska (luknja),jezero
Pokljuška soteska (luknja),jezero
Poljanska baba,vrh
Poljanska baba,vrh
Brezje / Montemaggiore,vrh
Brezje / Montemaggiore,vrh
Sv. Peter in Pavel (Perati),cerkev
Sv. Peter in Pavel (Perati),cerkev
Humčič,cerkev
Humčič,cerkev
Žerjavec (Kavče),vrh
Žerjavec (Kavče),vrh
Koča na Petrovem Brdu,koča
Koča na Petrovem Brdu,sedlo
Koča na Petrovem Brdu,koča
Koča na Petrovem Brdu,sedlo
Planina Črča,planina
Planina Črča,planina
Slap Peričnik - spodnji slap,slap
Slap Peričnik - spodnji slap,slap
Slap Savica,slap
Slap Savica,jezero
Slap Savica,slap
Slap Savica,jezero
Počitniški dom v Možnici,koča
Počitniški dom v Možnici,bivak
Počitniški dom v Možnici,koča
Počitniški dom v Možnici,bivak
Kamin Široka polica,bivak
Kamin Široka polica,bivak
Slap Mostnice,slap
Slap Mostnice,slap
Rio Bianco / Beli potok,slap
Rio Bianco / Beli potok,slap
Korita Mlinarice,slap
Korita Mlinarice,slap
Sveti Lenart (Bača pri Podbrdu),cerkev
Sveti Lenart (Bača pri Podbrdu),cerkev
Koča pri Peričniku,koča
Koča pri Peričniku,koča
Slap Slatenik,slap
Slap Slatenik,slap
Okrepčevalnica Slap Voje,koča
Okrepčevalnica Slap Voje,koča
Gogalova lipa,koča
Gogalova lipa,koča
Mladinski izobraževalni center v Bavšici,planina
Mladinski izobraževalni center v Bavšici,planina
Jamnikov spodmol,planina
Jamnikov spodmol,planina
Belopotoški slap,slap
Belopotoški slap,slap
Jezero Kreda,jezero
Jezero Kreda,jezero
Dolina Škratov,jezero
Dolina Škratov,jezero
Slap Parabola,slap
Slap Parabola,jezero
Slap Parabola,slap
Slap Parabola,jezero
Izvir Tolminke,planina
Izvir Tolminke,planina
Mala Osojnica,vrh
Mala Osojnica,vrh
Koča na Vojah,koča
Koča na Vojah,koča
