ime,vrsta
Vrh Svetih Treh Kraljev,cerkev
Vrh Svetih Treh Kraljev,vrh
Vrh Svetih Treh Kraljev,cerkev
Kavčič,vrh
Kavčič,vrh
Lovska koča na Planinski gori,koča
Lovska koča na Planinski gori,koča
Loška stena,vrh
Loška stena,vrh
Grmada (Planinska gora),vrh
Grmada (Planinska gora),vrh
Sončnica (Reber),vrh
Sončnica (Reber),vrh
Vrh Skopice,vrh
Vrh Skopice,vrh
Bele stene,vrh
Bele stene,vrh
Kuželjska stena,vrh
Kuželjska stena,vrh
Križna gora,vrh
Križna gora,cerkev
Križna gora,vrh
Križna gora,cerkev
Navrše,vrh
Navrše,vrh
Sveta Marija Magdalena (Gore),vrh
Sveta Marija Magdalena (Gore),cerkev
Sveta Marija Magdalena (Gore),vrh
Sveta Marija Magdalena (Gore),cerkev
Belovka,vrh
Belovka,vrh
Otliški maj,vrh
Otliški maj,vrh
Sveti Vid (Vidovska planota),vrh
Sveti Vid (Vidovska planota),cerkev
Sveti Vid (Vidovska planota),vrh
Sveti Vid (Vidovska planota),cerkev
Pravi vrh,vrh
Pravi vrh,vrh
Bivak Črna peč,bivak
Bivak Črna peč,bivak
Podrta gora nad Ajdovščino,vrh
Podrta gora nad Ajdovščino,vrh
Kurešček,vrh
Kurešček,cerkev
Kurešček,vrh
Kurešček,cerkev
Koča na Vrhu Svetih Treh Kraljev,koča
Koča na Vrhu Svetih Treh Kraljev,koča
Polšakova koča na Zagori,koča
Polšakova koča na Zagori,koča
Osojnica,vrh
Osojnica,vrh
Ljubljanski vrh,vrh
Ljubljanski vrh,vrh
Lovska koča Trešnja ravan,vrh
Lovska koča Trešnja ravan,vrh
Sveti Socerb (Artviže),vrh
Sveti Socerb (Artviže),cerkev
Sveti Socerb (Artviže),vrh
Sveti Socerb (Artviže),cerkev
Goli vrh (Cemarovnik),vrh
Goli vrh (Cemarovnik),vrh
Medvedje Brdo,vrh
Medvedje Brdo,cerkev
Medvedje Brdo,vrh
