gorovje,ime,ogledi,priljubljenost,st_poti,st_slik,visina,vrsta
"Goriško, Notranjsko in Snežniško hribovje",Cerk,215031,60,5,2,1192,vrh
"Goriško, Notranjsko in Snežniško hribovje",Cerk,215031,60,5,2,1192,vrh
"Goriško, Notranjsko in Snežniško hribovje",Stanov rob,298568,69,2,2,1191,vrh
"Goriško, Notranjsko in Snežniško hribovje",Stanov rob,298568,69,2,2,1191,vrh
"Goriško, Notranjsko in Snežniško hribovje",Čaven,589717,95,3,1,1185,vrh
"Goriško, Notranjsko in Snežniško hribovje",Čaven,589717,95,3,1,1185,vrh
"Goriško, Notranjsko in Snežniško hribovje",Škol,349449,75,1,4,1182,vrh
"Goriško, Notranjsko in Snežniško hribovje",Škol,349449,75,1,4,1182,vrh
"Goriško, Notranjsko in Snežniško hribovje",Križna gora (Hrušica),305525,70,3,8,1162,vrh
"Goriško, Notranjsko in Snežniško hribovje",Križna gora (Hrušica),305525,70,3,8,1162,vrh
"Goriško, Notranjsko in Snežniško hribovje",Pirnatova koča na Javorniku,505649,91,6,4,1156,koča
"Goriško, Notranjsko in Snežniško hribovje",Pirnatova koča na Javorniku,505649,91,6,4,1156,koča
"Goriško, Notranjsko in Snežniško hribovje",Maj,5112,35,1,2,1142,vrh
"Goriško, Notranjsko in Snežniško hribovje",Maj,5112,35,1,2,1142,vrh
"Goriško, Notranjsko in Snežniško hribovje",Velika ledena jama v Paradani,271630,66,1,2,1140,"</div>
  
        <div class=""g2""><b>Vremenska napoved:</b>"
"Goriško, Notranjsko in Snežniško hribovje",Velika ledena jama v Paradani,271630,66,1,2,1140,"</div>
  
        <div class=""g2""><b>Vremenska napoved:</b>"
"Goriško, Notranjsko in Snežniško hribovje",Racna gora,358155,76,2,2,1140,vrh
"Goriško, Notranjsko in Snežniško hribovje",Racna gora,358155,76,2,2,1140,vrh
"Goriško, Notranjsko in Snežniško hribovje",Trinški vrh,179279,55,2,3,1138,vrh
"Goriško, Notranjsko in Snežniško hribovje",Trinški vrh,179279,55,2,3,1138,vrh
"Goriško, Notranjsko in Snežniško hribovje",Špičasti vrh,404430,81,3,8,1128,vrh
"Goriško, Notranjsko in Snežniško hribovje",Špičasti vrh,404430,81,3,8,1128,vrh
"Goriško, Notranjsko in Snežniško hribovje",Bela stena,241968,63,1,2,1122,vrh
"Goriško, Notranjsko in Snežniško hribovje",Bela stena,241968,63,1,2,1122,vrh
"Goriško, Notranjsko in Snežniško hribovje",Krokar,297480,69,1,4,1122,vrh
"Goriško, Notranjsko in Snežniško hribovje",Krokar,297480,69,1,4,1122,vrh
"Goriško, Notranjsko in Snežniško hribovje",Na gradu,212612,59,2,6,1115,vrh
"Goriško, Notranjsko in Snežniško hribovje",Na gradu,212612,59,2,6,1115,vrh
"Goriško, Notranjsko in Snežniško hribovje",Slivnica,700297,98,6,10,1114,vrh
"Goriško, Notranjsko in Snežniško hribovje",Slivnica,700297,98,6,10,1114,vrh
"Goriško, Notranjsko in Snežniško hribovje",Krim,838186,99,16,20,1107,"vrh, koča"
"Goriško, Notranjsko in Snežniško hribovje",Krim,838186,99,16,20,1107,"vrh, koča"
"Goriško, Notranjsko in Snežniško hribovje",Čelkov vrh,316665,71,2,5,1106,vrh
"Goriško, Notranjsko in Snežniško hribovje",Čelkov vrh,316665,71,2,5,1106,vrh
"Goriško, Notranjsko in Snežniško hribovje",Sveta Trojica,540789,93,4,13,1106,vrh
"Goriško, Notranjsko in Snežniško hribovje",Sveta Trojica,540789,93,4,13,1106,vrh
"Goriško, Notranjsko in Snežniško hribovje",Velika Milanja,222921,61,1,3,1099,vrh
"Goriško, Notranjsko in Snežniško hribovje",Velika Milanja,222921,61,1,3,1099,vrh
"Goriško, Notranjsko in Snežniško hribovje",Kršičevec,375888,78,3,14,1091,vrh
"Goriško, Notranjsko in Snežniško hribovje",Kršičevec,375888,78,3,14,1091,vrh
"Goriško, Notranjsko in Snežniško hribovje",Baba (pri Javornikih),8450,37,2,2,1085,vrh
"Goriško, Notranjsko in Snežniško hribovje",Baba (pri Javornikih),8450,37,2,2,1085,vrh
"Goriško, Notranjsko in Snežniško hribovje",Razsušica,208792,59,1,2,1083,vrh
"Goriško, Notranjsko in Snežniško hribovje",Razsušica,208792,59,1,2,1083,vrh
"Goriško, Notranjsko in Snežniško hribovje",Kameni zid,182149,56,1,2,1081,vrh
"Goriško, Notranjsko in Snežniško hribovje",Kameni zid,182149,56,1,2,1081,vrh
"Goriško, Notranjsko in Snežniško hribovje",Medvižica,218622,60,2,1,1081,vrh
"Goriško, Notranjsko in Snežniško hribovje",Medvižica,218622,60,2,1,1081,vrh
"Goriško, Notranjsko in Snežniško hribovje",Dom na Slivnici,485302,89,2,8,1078,koča
"Goriško, Notranjsko in Snežniško hribovje",Dom na Slivnici,485302,89,2,8,1078,koča
"Goriško, Notranjsko in Snežniško hribovje",Črni vrh (pri Lokvah),9636,38,1,2,1072,vrh
"Goriško, Notranjsko in Snežniško hribovje",Črni vrh (pri Lokvah),9636,38,1,2,1072,vrh
"Goriško, Notranjsko in Snežniško hribovje",Veliki vrh (nad Lomom),3260,32,4,4,1071,vrh
"Goriško, Notranjsko in Snežniško hribovje",Veliki vrh (nad Lomom),3260,32,4,4,1071,vrh
"Goriško, Notranjsko in Snežniško hribovje",Lašček,338465,74,4,3,1071,vrh
"Goriško, Notranjsko in Snežniško hribovje",Lašček,338465,74,4,3,1071,vrh
